--- ABOUT ---
"Incorporated in 1963, BPL Ltd is in the business of manufacturing Printed Circuit Boards [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
296,60.5,94.2 / 37.6,

Book Value,Dividend Yield,ROCE,ROE
49.2,0.00,-1.22,-3.49

Face Value
10.0

--- QUARTERLY RESULTS ---
Cash from Financing Activity +,16.58,0.00,-168.65,-62.93,103.26,,5.64,-3.89,-10.17,6.16,-2.49,86.56
Net Cash Flow,10.18,0.00,-3.26,1.37,1.44,,-0.83,-0.91,0.38,5.18,-4.84,-0.14
Free Cash Flow,-8.50,0.00,164.72,64.09,-102.06,,-1.20,-0.88,2.01,0.85,56.74,-86.09
CFO/OP,28%,0%,-88%,488%,-604%,,"1,669%",-500%,106%,48%,71%,"1,780%"

--- RATIOS ---
,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,48.50,70.67,72.69,62.60,71.43,92.73,"1,050.78",124.53,97.02,117.53,111.28,116.81
Inventory Days,63.91,62.96,51.68,62.46,47.44,96.09,57.36,79.71,52.24,54.25,51.01,67.97
Days Payable,509.07,463.74,115.26,128.49,91.94,142.36,132.88,243.65,231.35,211.49,219.12,186.92
Cash Conversion Cycle,-396.66,-330.10,9.10,-3.43,26.93,46.46,975.26,-39.41,-82.09,-39.71,-56.83,-2.14
Working Capital Days,22.26,79.18,13.19,-6.48,-17.83,39.89,841.91,"-1,624.42","-1,141.41",-886.54,-712.63,-296.88
ROCE %,-0.53%,-3.81%,-5.57%,-4.09%,-1.14%,-2.91%,,,3.85%,4.35%,4.91%,-1.22%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%,63.13%
FIIs +,0.01%,0.00%,0.03%,0.01%,0.16%,0.00%,0.01%,0.03%,0.00%,0.03%,0.07%,0.02%
Public +,36.85%,36.86%,36.83%,36.86%,36.70%,36.87%,36.86%,36.84%,36.87%,36.83%,36.80%,36.84%
No. of Shareholders,"40,804","40,252","37,975","39,450","42,397","43,422","45,050","45,839","42,959","45,638","45,473","45,356"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,7%
5 Years:,%
3 Years:,14%
TTM:,0%

Compounded Profit Growth
10 Years:,-5%
5 Years:,%
3 Years:,%
TTM:,91%

Stock Price CAGR
10 Years:,5%
5 Years:,10%
3 Years:,-3%
1 Year:,-40%

Return on Equity
10 Years:,%
5 Years:,-6%
3 Years:,-12%
Last Year:,-3%

