,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,0.56,2.20,-0.26,0.30,3.75,-5.08,4.14,9.84,11.96
Cash from Investing Activity +,0.01,-2.22,-0.38,-0.38,-4.10,-1.23,-6.27,-5.06,-18.16
Cash from Financing Activity +,-0.60,0.06,0.61,0.61,0.35,8.54,-0.09,-4.77,6.21
Net Cash Flow,-0.03,0.04,-0.03,0.53,0.00,2.22,-2.22,0.00,0.01
Free Cash Flow,0.56,0.72,-0.31,0.25,-7.43,-7.02,-2.73,9.41,3.62
CFO/OP,58%,183%,8%,39%,120%,98%,337%,109%,176%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,93.50,69.57,73.91,100.51,36.65,24.49,14.55,29.94,22.56
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,93.50,69.57,73.91,100.51,36.65,24.49,14.55,29.94,22.56
Working Capital Days,12.39,-93.39,31.77,-3.85,-1.00,-184.59,-185.39,-85.35,-186.00
ROCE %,,46.10%,34.55%,15.39%,15.89%,-24.64%,-7.74%,22.28%,11.68%

--- SHAREHOLDING PATTERN ---
,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.63%,74.99%,74.99%,74.91%,74.91%,74.91%,74.71%,74.71%,74.71%,75.00%,75.00%,75.00%
Public +,25.36%,25.00%,24.99%,25.10%,25.08%,25.09%,25.31%,25.30%,25.28%,25.00%,24.99%,25.00%
No. of Shareholders,388,422,864,"1,207","1,228","1,285","1,477","1,488","1,634","1,540","1,542","1,600"

--- CAGR BOXES ---




