ticker,classification,market_cap,valuation_context,earnings_quality_analysis,pricing_power_analysis,secondary_red_flags,qualification_reason,sales_y1,sales_y2,sales_y3,sales_q1,sales_q2,net_profit_y1,net_profit_y2,opm_y1,opm_y2,operating_profit_y1,interest_y1,share_capital_y1,share_capital_y2,borrowings_y1,borrowings_y2,fixed_assets_y1,fixed_assets_y2,cwip_y1,cwip_y2,cfo_y1,roce_y1,roce_y2,ccc_y1,ccc_y2,promoter_q1,promoter_q2,fii_q1,fii_q2,dii_q1,dii_q2,stock_pe,dividend_yield,other_income_y1,debtor_days_y1,debtor_days_y2,days_payable_y1,days_payable_y2
AKSHARCHEM,PROVEN COMPOUNDER,196.0,Micro/Small-Cap (₹196.0Cr) trading at deep value (PE: 8.58).,Elite Quality: Earnings are clean and validated by a 0.31% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Operating Leverage, Immaculate Cash Conversion, Dividend Validation",188.0,200.0,0.0,59.32,48.47,17.0,16.0,17.0,14.0,32.0,3.0,7.0,7.0,31.0,24.0,56.0,55.0,4.0,2.0,13.0,27.0,0.0,2.0,-19.0,62.7,62.7,0.0,0.0,0.06,0.06,8.58,0.31,1.0,44.0,38.0,0.0,0.0
ALICON,EARLY INFLECTION,1072.0,Micro/Small-Cap (₹1072.0Cr) trading at fair/standard multiple (PE: 27.3).,Elite Quality: Earnings are clean and validated by a 0.84% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track A. Fired: Working Capital Squeeze, Smart Money Creep",1776.0,1720.0,1559.0,494.93,430.09,34.0,46.0,11.0,11.0,195.0,43.0,8.0,8.0,354.0,366.0,589.0,525.0,58.0,64.0,239.0,10.0,12.0,37.0,61.0,54.01,54.01,0.2,0.18,11.53,11.49,27.3,0.84,1.0,110.0,106.0,0.0,0.0
ALLDIGI,PROVEN COMPOUNDER,1234.0,Micro/Small-Cap (₹1234.0Cr) trading at deep value (PE: 13.9).,Elite Quality: Earnings are clean and validated by a 7.4% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Elite ROCE, Immaculate Cash Conversion, Dividend Validation",599.0,546.0,469.0,155.0,153.0,82.0,83.0,27.0,24.0,162.0,9.0,15.0,15.0,171.0,63.0,208.0,102.0,0.0,4.0,144.0,30.0,31.0,42.0,48.0,73.39,73.39,1.35,1.51,1.44,1.43,13.9,7.4,2.0,42.0,48.0,0.0,0.0
ALMONDZ,EARLY INFLECTION,233.0,Micro/Small-Cap (₹233.0Cr) trading at deep value (PE: 8.1).,CAUTION: >30% of Net Profit stems from Other Income.,Neutral: Trade working capital is stable.,"Debt exceeds hard physical assets | Passed survival, but currently burning operating cash flow","Track A. Fired: Margin Turnaround, Smart Money Creep",174.0,150.0,117.0,55.79,51.95,29.0,17.0,15.0,11.0,25.0,4.0,17.0,17.0,49.0,53.0,47.0,51.0,0.0,1.0,-4.0,12.0,9.0,114.0,127.0,51.18,51.18,0.02,0.06,0.12,0.0,8.1,0.0,18.0,114.0,127.0,0.0,0.0
AMNPLST,PROVEN COMPOUNDER,1091.0,Micro/Small-Cap (₹1091.0Cr) trading at fair/standard multiple (PE: 29.9).,Elite Quality: Earnings are clean and validated by a 0.24% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Operating Leverage, Immaculate Cash Conversion, Dividend Validation",571.0,661.0,647.0,155.0,142.0,37.0,41.0,10.0,10.0,60.0,5.0,11.0,11.0,27.0,77.0,76.0,80.0,0.0,0.0,66.0,17.0,20.0,109.0,99.0,73.17,73.17,0.0,0.0,0.0,0.0,29.9,0.24,1.0,89.0,74.0,0.0,0.0
ANDHRSUGAR,HYPER-COMPOUNDER,1161.0,Micro/Small-Cap (₹1161.0Cr) trading at deep value (PE: 11.6).,Elite Quality: Earnings are clean and validated by a 1.16% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Both Tracks. Fired: Working Capital Squeeze, Margin Turnaround, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",2466.0,2020.0,1894.0,637.41,631.34,87.0,27.0,8.0,5.0,203.0,2.0,27.0,27.0,1.0,13.0,931.0,952.0,42.0,57.0,278.0,8.0,4.0,79.0,141.0,50.49,50.49,2.53,2.69,0.0,0.0,11.6,1.16,3.0,34.0,35.0,0.0,0.0
AMRUTANJAN,EARLY INFLECTION,1580.0,Micro/Small-Cap (₹1580.0Cr) priced for perfection (PE: 77.5).,Elite Quality: Earnings are clean and validated by a 0.85% hard-cash dividend.,Neutral: Trade working capital is stable.,Promoter holding is passable but low (46.52%),"Track A. Fired: Factory Go-Live, Working Capital Squeeze",177.0,158.0,134.0,0.0,0.0,21.0,15.0,18.0,15.0,31.0,0.0,3.0,3.0,2.0,2.0,29.0,24.0,1.0,4.0,21.0,31.0,26.0,55.0,69.0,46.52,46.52,2.17,2.27,12.66,13.0,77.5,0.85,5.0,57.0,64.0,0.0,0.0
APOLSINHOT,HYPER-COMPOUNDER,356.0,Micro/Small-Cap (₹356.0Cr) trading at fair/standard multiple (PE: 30.3).,CAUTION: >30% of Net Profit stems from Other Income.,Neutral: Trade working capital is stable.,Debt exceeds hard physical assets,"Both Tracks. Fired: Working Capital Squeeze, Margin Turnaround, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",632.0,542.0,519.0,182.35,161.4,10.0,8.0,5.0,4.0,29.0,8.0,1.0,1.0,91.0,81.0,87.0,67.0,2.0,0.0,40.0,11.0,9.0,-18.0,57.0,64.68,64.68,0.0,0.0,0.0,0.0,30.3,0.18,7.0,65.0,57.0,0.0,0.0
ARIES,HYPER-COMPOUNDER,434.0,Micro/Small-Cap (₹434.0Cr) trading at deep value (PE: 10.1).,Elite Quality: Earnings are clean and validated by a 0.36% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Both Tracks. Fired: Working Capital Squeeze, Smart Money Creep, Top-Line Growth, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",753.0,622.0,516.0,184.8,202.5,42.0,33.0,12.0,11.0,89.0,18.0,13.0,13.0,56.0,49.0,116.0,110.0,40.0,10.0,86.0,21.0,18.0,115.0,159.0,52.66,52.66,3.25,2.91,0.0,0.0,10.1,0.36,0.0,45.0,69.0,0.0,0.0
ASAHISONG,PROVEN COMPOUNDER,309.0,Micro/Small-Cap (₹309.0Cr) trading at deep value (PE: 16.4).,CAUTION: >30% of Net Profit stems from Other Income.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Operating Leverage, Immaculate Cash Conversion, Dividend Validation",535.0,562.0,426.0,144.0,121.0,18.0,17.0,9.0,10.0,50.0,12.0,12.0,12.0,143.0,167.0,287.0,305.0,0.0,0.0,43.0,8.0,9.0,85.0,72.0,67.0,67.0,0.05,0.0,0.31,0.3,16.4,0.56,7.0,94.0,96.0,0.0,0.0
ASHIANA,HYPER-COMPOUNDER,3941.0,Micro/Small-Cap (₹3941.0Cr) trading at fair/standard multiple (PE: 33.4).,CAUTION: >30% of Net Profit stems from Other Income.,Neutral: Trade working capital is stable.,Debt exceeds hard physical assets,"Both Tracks. Fired: Margin Turnaround, Smart Money Creep, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",1143.0,529.0,944.0,323.0,362.0,118.0,18.0,11.0,3.0,130.0,2.0,20.0,20.0,323.0,276.0,110.0,128.0,0.0,0.0,342.0,14.0,3.0,1179.0,28.0,61.11,61.11,8.29,7.9,8.07,8.06,33.4,0.64,44.0,14.0,28.0,0.0,0.0
ASIANENE,PROVEN COMPOUNDER,1820.0,Micro/Small-Cap (₹1820.0Cr) trading at fair/standard multiple (PE: 31.5).,Elite Quality: Earnings are clean and validated by a 0.27% hard-cash dividend.,Neutral: Trade working capital is stable.,Debt exceeds hard physical assets,"Track B. Fired: Top-Line Growth, Immaculate Cash Conversion, Dividend Validation",791.0,465.0,305.0,338.0,235.0,52.0,42.0,12.0,14.0,95.0,11.0,45.0,45.0,159.0,24.0,115.0,115.0,46.0,3.0,53.0,17.0,17.0,160.0,176.0,56.16,60.75,1.18,1.34,0.75,0.81,31.5,0.27,3.0,160.0,176.0,0.0,0.0
ATULAUTO,EARLY INFLECTION,1327.0,Micro/Small-Cap (₹1327.0Cr) trading at fair/standard multiple (PE: 30.7).,Standard Quality: Earnings driven by core operations.,Neutral: Trade working capital is stable.,Promoter holding is passable but low (42.7%),"Track A. Fired: Margin Turnaround, Smart Money Creep",824.0,723.0,527.0,241.0,231.0,43.0,18.0,10.0,7.0,84.0,9.0,14.0,14.0,145.0,110.0,237.0,246.0,3.0,1.0,47.0,11.0,6.0,38.0,42.0,42.7,42.7,0.84,0.38,0.1,0.1,30.7,0.0,1.0,30.0,27.0,0.0,0.0
AYMSYNTEX,EARLY INFLECTION,1304.0,Micro/Small-Cap (₹1304.0Cr) priced for perfection (PE: 199.0).,CAUTION: >30% of Net Profit stems from Other Income.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track A. Fired: Working Capital Squeeze, Smart Money Creep",1365.0,1489.0,1358.0,365.77,323.72,7.0,12.0,7.0,8.0,93.0,32.0,59.0,58.0,188.0,202.0,525.0,482.0,42.0,11.0,151.0,5.0,8.0,27.0,44.0,65.86,65.9,3.42,3.16,0.46,0.41,199.0,0.0,11.0,36.0,32.0,0.0,0.0
BANSWRAS,PROVEN COMPOUNDER,469.0,Micro/Small-Cap (₹469.0Cr) trading at deep value (PE: 12.5).,Elite Quality: Earnings are clean and validated by a 0.73% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Operating Leverage, Immaculate Cash Conversion, Dividend Validation",1356.0,1293.0,1264.0,366.0,340.0,31.0,22.0,9.0,8.0,129.0,43.0,17.0,17.0,475.0,454.0,555.0,521.0,30.0,20.0,118.0,9.0,7.0,208.0,222.0,54.19,54.19,7.91,8.37,0.0,0.0,12.5,0.73,9.0,66.0,57.0,0.0,0.0
BCPL,PROVEN COMPOUNDER,127.0,Micro/Small-Cap (₹127.0Cr) trading at deep value (PE: 19.7).,CAUTION: >30% of Net Profit stems from Other Income.,WARNING: Receivables piling up. Free credit to drive sales.,"Debt exceeds hard physical assets | Passed survival, but currently burning operating cash flow","Track B. Fired: Top-Line Growth, Operating Leverage, Dividend Validation",210.0,161.0,88.0,57.92,27.2,7.0,5.0,7.0,6.0,15.0,7.0,17.0,17.0,74.0,75.0,48.0,47.0,0.0,0.0,-1.0,9.0,8.0,139.0,29.0,72.87,72.87,0.0,0.0,0.0,0.0,19.7,1.32,3.0,43.0,29.0,0.0,0.0
BCLIND,HYPER-COMPOUNDER,1068.0,Micro/Small-Cap (₹1068.0Cr) trading at deep value (PE: 9.29).,Elite Quality: Earnings are clean and validated by a 0.72% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Both Tracks. Fired: Factory Go-Live, Working Capital Squeeze, Margin Turnaround, Smart Money Creep, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",2792.0,2815.0,2129.0,582.0,726.0,126.0,103.0,9.0,7.0,242.0,33.0,30.0,30.0,569.0,536.0,818.0,634.0,7.0,110.0,325.0,14.0,13.0,49.0,69.0,58.23,58.03,0.43,0.37,0.0,0.02,9.29,0.72,9.0,10.0,17.0,0.0,0.0
BEARDSELL,PROVEN COMPOUNDER,116.0,Micro/Small-Cap (₹116.0Cr) trading at deep value (PE: 10.2).,Elite Quality: Earnings are clean and validated by a 0.34% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Operating Leverage, Immaculate Cash Conversion, Dividend Validation",275.0,268.0,245.0,71.78,66.59,11.0,10.0,9.0,9.0,24.0,3.0,8.0,8.0,22.0,29.0,69.0,67.0,1.0,0.0,26.0,17.0,16.0,41.0,31.0,52.68,52.68,0.0,0.0,0.04,0.04,10.2,0.34,2.0,63.0,72.0,0.0,0.0
BEPL,PROVEN COMPOUNDER,2603.0,Micro/Small-Cap (₹2603.0Cr) trading at deep value (PE: 14.5).,Elite Quality: Earnings are clean and validated by a 3.8% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Elite ROCE, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",1276.0,1398.0,1222.0,342.0,301.0,180.0,180.0,17.0,15.0,216.0,0.0,25.0,25.0,0.0,0.0,133.0,137.0,31.0,11.0,168.0,24.0,25.0,86.0,89.0,57.48,57.48,1.36,1.13,0.0,0.0,14.5,3.8,40.0,73.0,67.0,0.0,0.0
BFUTILITIE,PROVEN COMPOUNDER,2459.0,Micro/Small-Cap (₹2459.0Cr) trading at deep value (PE: 16.1).,Standard Quality: Earnings driven by core operations.,WARNING: Receivables piling up. Free credit to drive sales.,No glaring secondary red flags detected.,"Track B. Fired: Elite ROCE, Operating Leverage, Immaculate Cash Conversion",837.0,969.0,759.0,235.0,232.0,338.0,304.0,74.0,60.0,619.0,113.0,19.0,19.0,932.0,1298.0,1291.0,1354.0,78.0,54.0,540.0,30.0,28.0,3.0,1.0,56.73,56.73,1.57,1.57,0.05,0.1,16.1,0.0,25.0,3.0,1.0,0.0,0.0
BIRLAMONEY,EARLY INFLECTION,822.0,Micro/Small-Cap (₹822.0Cr) priced for perfection (PE: 86.3).,Standard Quality: Earnings driven by core operations.,Neutral: Trade working capital is stable.,"Debt exceeds hard physical assets | Passed survival, but currently burning operating cash flow","Track A. Fired: Working Capital Squeeze, Smart Money Creep",164.0,133.0,127.0,43.11,42.14,10.0,7.0,15.0,13.0,24.0,9.0,6.0,6.0,269.0,232.0,6.0,6.0,0.0,1.0,-174.0,12.0,15.0,296.0,407.0,73.53,73.53,0.03,0.0,0.0,0.0,86.3,0.0,0.0,296.0,407.0,0.0,0.0
BLACKROSE,HYPER-COMPOUNDER,566.0,Micro/Small-Cap (₹566.0Cr) trading at fair/standard multiple (PE: 25.2).,Elite Quality: Earnings are clean and validated by a 0.96% hard-cash dividend.,WARNING: Receivables piling up. Free credit to drive sales.,No glaring secondary red flags detected.,"Both Tracks. Fired: Factory Go-Live, Smart Money Creep, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",323.0,391.0,380.0,104.04,75.15,22.0,21.0,10.0,8.0,33.0,1.0,5.0,5.0,1.0,11.0,50.0,39.0,2.0,9.0,45.0,19.0,19.0,112.0,99.0,75.0,75.0,0.0,0.0,0.15,0.14,25.2,0.96,3.0,79.0,63.0,0.0,0.0
BLBLIMITED,EARLY INFLECTION,85.6,Micro/Small-Cap (₹85.6Cr) trading at deep value (PE: 2.57).,Standard Quality: Earnings driven by core operations.,Neutral: Trade working capital is stable.,Promoter holding is passable but low (45.77%),"Track A. Fired: Working Capital Squeeze, Margin Turnaround, Smart Money Creep",744.0,539.0,518.0,71.61,277.28,33.0,4.0,6.0,1.0,44.0,1.0,5.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,15.0,40.0,0.0,10.0,13.0,45.77,41.0,0.04,0.0,0.0,0.0,2.57,0.0,2.0,0.0,0.0,0.0,0.0
BLSE,PROVEN COMPOUNDER,2104.0,Micro/Small-Cap (₹2104.0Cr) trading at fair/standard multiple (PE: 36.6).,CAUTION: >30% of Net Profit stems from Other Income.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Top-Line Growth, Immaculate Cash Conversion, Dividend Validation",1118.0,519.0,301.0,323.0,281.0,69.0,59.0,7.0,12.0,75.0,1.0,91.0,91.0,6.0,7.0,180.0,148.0,15.0,11.0,51.0,17.0,16.0,39.0,-611.0,69.81,68.89,0.46,0.99,0.01,0.11,36.6,0.43,25.0,39.0,66.0,0.0,0.0
BLUSPRING,EARLY INFLECTION,1661.0,Micro/Small-Cap (₹1661.0Cr) trading at fair/standard multiple (PE: 0.0).,Standard Quality: Earnings driven by core operations.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track A. Fired: Working Capital Squeeze, Smart Money Creep",3382.0,3484.0,2682.0,864.8,862.53,-23.0,-179.0,2.0,2.0,78.0,34.0,149.0,149.0,136.0,140.0,521.0,502.0,0.0,7.0,5.0,5.0,4.0,-109.0,81.0,58.16,58.24,5.71,5.49,8.71,8.81,0.0,0.0,-22.0,59.0,81.0,0.0,0.0
CARRARO,PROVEN COMPOUNDER,3275.0,Micro/Small-Cap (₹3275.0Cr) trading at fair/standard multiple (PE: 23.8).,Elite Quality: Earnings are clean and validated by a 0.77% hard-cash dividend.,Neutral: Trade working capital is stable.,No glaring secondary red flags detected.,"Track B. Fired: Elite ROCE, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",2255.0,1808.0,1789.0,607.0,570.0,131.0,88.0,10.0,9.0,219.0,19.0,57.0,57.0,155.0,191.0,376.0,380.0,0.0,0.0,135.0,29.0,23.0,38.0,45.0,68.77,68.77,3.01,2.72,17.53,17.11,23.8,0.77,19.0,61.0,59.0,0.0,0.0
CARYSIL,HYPER-COMPOUNDER,3390.0,Micro/Small-Cap (₹3390.0Cr) trading at fair/standard multiple (PE: 34.2).,Elite Quality: Earnings are clean and validated by a 0.2% hard-cash dividend.,Neutral: Trade working capital is stable.,Promoter holding is passable but low (41.34%),"Both Tracks. Fired: Working Capital Squeeze, Smart Money Creep, Operating Leverage, Immaculate Cash Conversion, Dividend Validation",924.0,816.0,684.0,234.0,223.0,99.0,64.0,19.0,17.0,177.0,20.0,6.0,6.0,274.0,276.0,479.0,414.0,25.0,12.0,109.0,18.0,15.0,198.0,251.0,41.34,41.34,1.59,1.55,11.74,11.35,34.2,0.2,12.0,64.0,65.0,0.0,0.0
CNL,EARLY INFLECTION,1113.0,Micro/Small-Cap (₹1113.0Cr) trading at deep value (PE: 15.8).,Elite Quality: Earnings are clean and validated by a 0.07% hard-cash dividend.,WARNING: Receivables piling up. Free credit to drive sales.,"Debt exceeds hard physical assets | Passed survival, but currently burning operating cash flow","Track A. Fired: Factory Go-Live, Smart Money Creep",2705.0,1783.0,1721.0,741.0,914.0,70.0,53.0,3.0,3.0,91.0,21.0,15.0,15.0,324.0,72.0,12.0,8.0,0.0,2.0,-273.0,19.0,21.0,75.0,42.0,56.62,56.62,0.22,0.22,1.08,1.04,15.8,0.07,13.0,76.0,49.0,0.0,0.0
