--- ABOUT ---
"State Bank of India is a Fortune 500 company. It is an Indian Multinational, Public Sector banking and financial services statutory body headquartered in Mumbai. It is the largest and oldest bank in India with over 200 years of history. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,55,461","1,035","1,235 / 787",11.5

Book Value,Dividend Yield,ROCE,ROE
646,1.68,6.13,15.4

Face Value
1.00

--- QUARTERLY RESULTS ---
No. of Shareholders,"29,48,536","30,29,116","30,47,685","31,50,350","36,13,127","37,91,512","37,19,913","38,26,549","37,54,459","36,18,554","35,67,461","37,63,427"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,9%
5 Years:,13%
3 Years:,14%
TTM:,5%

Compounded Profit Growth
10 Years:,21%
5 Years:,30%
3 Years:,14%
TTM:,7%

Stock Price CAGR
10 Years:,17%
5 Years:,20%
3 Years:,23%
1 Year:,30%

Return on Equity
10 Years:,11%
5 Years:,16%
3 Years:,17%
Last Year:,15%

