--- ABOUT ---
"Incorporated in 1985, NDL Ventures provides Financial services, except  insurance and pension funding [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
453,134,140,

Book Value,Dividend Yield,ROCE,ROE
73.5,0.37,1.84,-10.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
EPS in Rs,30.06,34.88,27.85,0.07,6.34,-28.20,-19.66,-60.08,-92.39,-58.48,-8.65,-3.77,-11.27
Dividend Payout %,30%,31%,38%,"15,420%",169%,-44%,-64%,-21%,-14%,-6%,-33%,-106%,

--- BALANCE SHEET ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,21,21,21,21,21,21,21,21,21,21,24,34,34
Reserves,649,714,798,762,743,639,429,882,517,103,59,314,214
Borrowings +,110,128,787,844,"1,054","1,324","1,232","1,555","1,204","1,088","1,136","1,190","1,243"
Other Liabilities +,318,385,422,375,344,579,489,792,749,746,659,486,643
Total Liabilities,"1,097","1,247","2,028","2,002","2,162","2,562","2,171","3,249","2,491","1,957","1,878","2,024","2,134"
Fixed Assets +,242,296,540,604,603,767,844,854,768,"1,162","1,152","1,180","1,218"
CWIP,24,9,112,38,39,195,25,13,22,12,10,6,6
Investments,273,226,320,305,271,525,351,"1,825","1,226",8,13,12,21
Other Assets +,559,717,"1,056","1,055","1,248","1,075",952,556,475,775,704,826,889
Total Assets,"1,097","1,247","2,028","2,002","2,162","2,562","2,171","3,249","2,491","1,957","1,878","2,024","2,134"

--- CASH FLOW ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,-25,-13,-126,103,-17,548,101,-61,-198,-138,166,-27
Cash from Investing Activity +,-69,12,-430,-20,32,-605,199,32,576,630,9,-152
Cash from Financing Activity +,41,-26,557,-67,-3,77,-304,31,-387,-497,-189,195
Net Cash Flow,-53,-28,1,17,11,20,-5,3,-8,-5,-14,16
Free Cash Flow,-56,-65,-515,-6,-115,144,59,-192,-271,-209,61,-266
CFO/OP,4%,14%,-43%,106%,27%,787%,213%,-60%,117%,214%,82%,-11%

--- RATIOS ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Debtor Days,97,111,161,171,171,103,74,53,52,28,27,27
Inventory Days,,,,,,,,,,331,,134
Days Payable,,,,,,,,,,"2,122",,899
Cash Conversion Cycle,97,111,161,171,171,103,74,53,52,"-1,762",27,-739
Working Capital Days,228,246,279,184,181,-45,-57,-225,-542,-319,-374,-295
ROCE %,17%,19%,11%,1%,4%,2%,-1%,-4%,-12%,-6%,3%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.68%,64.68%,64.68%,64.68%,66.20%,66.20%,66.20%,66.20%,66.20%,66.20%,66.20%,66.20%
FIIs +,5.32%,5.32%,5.32%,5.32%,5.32%,5.32%,5.38%,5.38%,5.38%,5.38%,5.32%,5.39%
DIIs +,1.25%,1.25%,1.25%,1.25%,1.25%,1.29%,1.29%,0.04%,0.04%,0.04%,0.04%,0.04%
Public +,28.76%,28.76%,28.76%,28.77%,27.23%,27.18%,27.14%,28.38%,28.38%,28.37%,28.43%,28.36%
No. of Shareholders,"9,354","9,088","8,985","9,356","9,546","10,882","10,740","10,869","10,687","10,997","10,733","10,577"

--- CAGR BOXES ---




