Net Cash Flow,3.79,-1.57,0.26,6.90,-3.42,-1.57,2.62,-0.34,-3.01,0.37,-1.91
Free Cash Flow,3.36,-1.42,0.36,6.04,-3.62,-0.34,3.27,-7.83,-2.10,7.56,-2.26
CFO/OP,"-1,935%",175%,-174%,-199%,108%,30%,351%,-664%,-232%,-97%,92%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,"1,050.99",865.77,875.62,894.45,"1,195.47",667.54,275.95,443.66,278.99,137.27,185.51
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,"1,050.99",865.77,875.62,894.45,"1,195.47",667.54,275.95,443.66,278.99,137.27,185.51
Working Capital Days,317.76,392.33,226.09,-573.57,-68.68,-672.42,-598.76,191.84,-137.19,-194.03,-116.58
ROCE %,,-0.80%,-1.61%,-4.71%,-9.22%,-3.41%,2.88%,2.86%,1.39%,-14.51%,-3.47%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,47.69%,47.76%,47.76%,47.76%,47.97%,47.98%,48.14%,48.25%,48.27%,48.27%,48.30%,48.73%
Public +,52.30%,52.25%,52.24%,52.24%,52.04%,52.02%,51.85%,51.75%,51.73%,51.73%,51.70%,51.26%
No. of Shareholders,"3,607","3,626","4,128","4,081","3,944","4,549","4,577","4,647","4,614","4,561","4,604","4,571"

--- CAGR BOXES ---




